gender,field,frequency,output,learning_impact,knowledge_retention,dependent_on_technology,restriction,free_time
Male,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,8+ hours per week
Male,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
Male,Engineering,Occasionally,strong,Significantly reduced,Somewhat hinders,"Yes, significantly",restricted,3-8 hours per week
Male,Natural Sciences,Very frequently,stronger,Significantly improved,Somewhat hinders,"Yes, certain areas",guidelines,8+ hours per week
Male,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
Male,Business/Finance,Rarely,basic,No impact,No effect,"Yes, significantly",restricted,0- 2 hours
Female,Other ,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, significantly",free,0- 2 hours
Female,Business/Finance,Never,stronger,No impact,Somewhat helps,No,guidelines,0- 2 hours
Female,Business/Finance,Never,basic,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
Female,Computer Science/IT,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",Unsure,3-8 hours per week
Female,Other ,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",Unsure,3-8 hours per week
Female,Medicine/Healthcare,Very frequently,strong,Significantly improved,Somewhat hinders,"Yes, certain areas",Unsure,0- 2 hours
Female,Other ,Frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
Male,Computer Science/IT,Very frequently,strong,No impact,Strongly helps,No,Unsure,0- 2 hours
Female,Other ,Never,Poor,No impact,Strongly helps,"Yes, certain areas",Unsure,0- 2 hours
Female,Other ,Frequently,strong,Somewhat improved,No effect,No,guidelines,0- 2 hours
Female,Other ,Rarely,Poor,No impact,Somewhat helps,No,free,3-8 hours per week
Female,Other ,Occasionally,basic,Somewhat improved,Somewhat helps,No,free,3-8 hours per week
Female,Medicine/Healthcare,Occasionally,basic,Somewhat improved,Strongly helps,"Yes, significantly",guidelines,0- 2 hours
Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Strongly hinders,"Yes, significantly",Unsure,3-8 hours per week
Female,Medicine/Healthcare,Frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
Female,Computer Science/IT,Very frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
Male,Computer Science/IT,Frequently,stronger,Significantly reduced,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
Female,Computer Science/IT,Very frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
Prefer not to state,Computer Science/IT,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
Male,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",free,3-8 hours per week
Female,Computer Science/IT,Very frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
Female,Computer Science/IT,Very frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
Female,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
Male,Engineering,Occasionally,basic,Somewhat improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
Female,Computer Science/IT,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",free,3-8 hours per week
Male,Business/Finance,Occasionally,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,0- 2 hours
Male,Engineering,Occasionally,basic,Somewhat decreased,Somewhat helps,"Yes, significantly",free,0- 2 hours
Male,Engineering,Very frequently,basic,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
Male,Engineering,Occasionally,basic,Significantly improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
Male,Engineering,Never,stronger,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
Male,Other ,Occasionally,strong,Somewhat improved,Somewhat helps,No,guidelines,8+ hours per week
Male,Engineering,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,0- 2 hours
Male,Engineering,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
Male,Other ,Never,Poor,No impact,Strongly helps,"Yes, significantly",guidelines,3-8 hours per week
Male,Humanities/Social Sciences,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
Male,Computer Science/IT,Frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
Male,Computer Science/IT,Frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, certain areas",restricted,3-8 hours per week
