ID,gender,field,frequency,output,learning impact,knowledge retention,dependent on technology,restriction,free_time
5,Male,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,8+ hours per week
6,Male,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
7,Male,Engineering,Occasionally,strong,Significantly reduced,Somewhat hinders,"Yes, significantly",restricted,3-8 hours per week
8,Male,Natural Sciences,Very frequently,stronger,Significantly improved,Somewhat hinders,"Yes, certain areas",guidelines,8+ hours per week
9,Male,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
10,Male,Business/Finance,Rarely,basic,No impact,No effect,"Yes, significantly",restricted,0- 2 hours
11,Female,Other ,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, significantly",free,0- 2 hours
12,Female,Business/Finance,Never,stronger,No impact,Somewhat helps,No,guidelines,0- 2 hours
13,Female,Business/Finance,Never,basic,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
14,Female,Computer Science/IT,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
15,Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",Unsure,3-8 hours per week
16,Female,Other ,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",Unsure,3-8 hours per week
17,Female,Medicine/Healthcare,Very frequently,strong,Significantly improved,Somewhat hinders,"Yes, certain areas",Unsure,0- 2 hours
18,Female,Other ,Frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
19,Male,Computer Science/IT,Very frequently,strong,No impact,Strongly helps,No,Unsure,0- 2 hours
20,Female,Other ,Never,Poor,No impact,Strongly helps,"Yes, certain areas",Unsure,0- 2 hours
21,Female,Other ,Frequently,strong,Somewhat improved,No effect,No,guidelines,0- 2 hours
22,Female,Other ,Rarely,Poor,No impact,Somewhat helps,No,free,3-8 hours per week
23,Female,Other ,Occasionally,basic,Somewhat improved,Somewhat helps,No,free,3-8 hours per week
24,Female,Medicine/Healthcare,Occasionally,basic,Somewhat improved,Strongly helps,"Yes, significantly",guidelines,0- 2 hours
25,Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Strongly hinders,"Yes, significantly",Unsure,3-8 hours per week
26,Female,Medicine/Healthcare,Frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
27,Female,Computer Science/IT,Very frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
28,Male,Computer Science/IT,Frequently,stronger,Significantly reduced,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
29,Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
30,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
31,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
32,Female,Computer Science/IT,Very frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
33,Prefer not to state,Computer Science/IT,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
34,Male,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",free,3-8 hours per week
35,Female,Computer Science/IT,Very frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
36,Female,Computer Science/IT,Very frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
